file,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_04550.wav,2.6426218,2.5638647,2.5727582,3.403305,3.8127167,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_03466.wav,3.6886702,2.447222,3.916942,3.7942338,3.74299,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_04452.wav,3.795125,2.9472764,4.4358397,4.2115912,4.033726,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_00202.wav,2.3865526,2.5491643,4.026521,3.5661287,3.6390328,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01760.wav,3.780651,2.7423432,4.233392,4.3506374,4.205243,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_03994.wav,2.6031854,2.6353111,2.9118724,3.720783,3.390165,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01543.wav,3.125016,2.9854515,3.9132965,3.7657614,3.7359512,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01449.wav,2.3673801,2.8754494,2.4496787,3.2354023,3.4822085,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_03514.wav,3.9159646,3.1518,4.392316,4.201162,3.5108893,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_04841.wav,3.9353666,3.143822,4.363006,4.0994377,4.020267,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_00445.wav,2.227617,2.5436583,2.1310167,3.3911889,3.4488971,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_02381.wav,3.2914724,2.7583168,4.423873,3.9238496,3.8399503,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_03510.wav,3.0959241,1.9290497,4.077684,3.872157,3.6058488,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_00204.wav,2.12619,2.9631145,2.4163926,3.0867274,3.6800091,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_00146.wav,2.3714256,3.2161787,2.8618383,3.1395402,3.656041,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_02550.wav,3.598605,1.9643531,4.4491205,4.2022147,3.6132076,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_00823.wav,3.538931,3.3039618,4.206594,3.9210575,3.5755117,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01367.wav,3.2223542,2.6233552,3.7480304,3.871507,3.4454288,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01658.wav,3.2159421,1.921357,4.1572895,3.9137084,3.3447678,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01989.wav,2.1772797,2.4918292,2.8332598,3.1229885,3.1079566,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_00105.wav,2.9896383,3.1569104,3.2536488,3.6115324,3.151281,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01720.wav,3.796385,2.5436182,4.286425,4.347053,3.742695,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_03899.wav,3.6313312,2.3611968,4.356568,4.0959144,3.7385883,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_00914.wav,3.2088492,3.0838583,3.8104093,4.0206976,3.654031,NISQAv2
